2785	1250+2673	0	948	1	37387at6656|TCONS_00031774|+|39|3.949e-06|1|1250|3922|1250[1250]:3922[3922]:2673[2673]
2823	3289+753	0	76	1	37387at6656|TCONS_00038308|+|36|3.159e-05|1|3289|4041|3289[3289]:4041[4041]:753[753]
2823	15208+4503	0	1145	1	37387at6656|TCONS_00038308|+|87|1.403e-20|1|15208|19710|15208[15208]:19710[19710]:4503[4503]
2838	1053+528	0	655	1	137197at6656|TCONS_00037976|+|124|1.021e-31|1|1053|1580|1053[1053]:1580[1580]:528[528]
2921	363+555	0	750	1	137197at6656|TCONS_00039484|+|174|9.067e-47|1|363|917|363[363]:917[917]:555[555]
3021	3860+516	0	2	1	93152at6656|TCONS_00042975|+|94|1.096e-22|1|3860|4375|3860[3860]:4375[4375]:516[516]
3042	12437+5313	0	72	1	37387at6656|TCONS_00048512|+|72|4.598e-16|1|12437|17749|12437[12437]:17749[17749]:5313[5313]
3053	1494+465	0	134	1	93152at6656|TCONS_00050335|+|42|4.937e-07|1|1494|1958|1494[1494]:1958[1958]:465[465]
3081	20022+693	0	596	1	40319at6656|TCONS_00049188|+|125|5.104e-32|1|20022|20714|20022[20022]:20714[20714]:693[693]
3163	1614+258	0	110	1	131276at6656|TCONS_00062940|+|64|1.177e-13|1|1614|1871|1614[1614]:1871[1871]:258[258]
3308	792+516	0	678	1	137197at6656|TCONS_00007260|+|104|1.07e-25|1|792|1307|792[792]:1307[1307]:516[516]
3340	627+537	0	1128	1	137197at6656|TCONS_00011484|+|97|1.37e-23|1|627|1163|627[627]:1163[1163]:537[537]
3473	712+984	0	267	1	40319at6656|TCONS_00006784|+|99|3.425e-24|1|712|1695|712[712]:1695[1695]:984[984]
3509	739+1467	0	1302	1	37387at6656|TCONS_00010618|+|32|0.0005055|1|739|2205|739[739]:2205[2205]:1467[1467]
3579	5581+417	0	970	1	79993at6656|TCONS_00025665|+|49|3.857e-09|1|5581|5997|5581[5581]:5997[5997]:417[417]
3639	423+555	0	1636	1	137197at6656|TCONS_00016268|+|81|8.98e-19|1|423|977|423[423]:977[977]:555[555]
3666	171+414	0	1095	1	137197at6656|TCONS_00023465|+|85|5.612e-20|1|171|584|171[171]:584[584]:414[414]
3868	1154+609	0	2	1	93152at6656|TCONS_00036857|+|105|5.352e-26|1|1154|1762|1154[1154]:1762[1762]:609[609]
3877	3816+2673	0	948	1	37387at6656|TCONS_00034120|+|39|3.949e-06|1|3816|6488|3816[3816]:6488[6488]:2673[2673]
3915	3723+753	0	76	1	37387at6656|TCONS_00038309|+|36|3.159e-05|1|3723|4475|3723[3723]:4475[4475]:753[753]
3915	15642+4503	0	1145	1	37387at6656|TCONS_00038309|+|87|1.403e-20|1|15642|20144|15642[15642]:20144[20144]:4503[4503]
4013	660+555	0	750	1	137197at6656|TCONS_00039485|+|174|9.067e-47|1|660|1214|660[660]:1214[1214]:555[555]
4080	2653+315	0	148	1	148713at6656|TCONS_00042855|+|34|0.0001264|1|2653|2967|2653[2653]:2967[2967]:315[315]
4113	3845+516	0	2	1	93152at6656|TCONS_00042976|+|94|1.096e-22|1|3845|4360|3845[3845]:4360[4360]:516[516]
4134	11033+5313	0	72	1	37387at6656|TCONS_00045463|+|72|4.598e-16|1|11033|16345|11033[11033]:16345[16345]:5313[5313]
4255	1258+258	0	110	1	131276at6656|TCONS_00062941|+|64|1.177e-13|1|1258|1515|1258[1258]:1515[1515]:258[258]
4260	888+3999	0	1523	1	37387at6656|TCONS_00063607|+|47|1.543e-08|1|888|4886|888[888]:4886[4886]:3999[3999]
4290	2055+2022	0	240	1	37387at6656|TCONS_00059803|+|54|1.205e-10|1|2055|4076|2055[2055]:4076[4076]:2022[2022]
4432	538+537	0	1128	1	137197at6656|TCONS_00012867|+|96|2.74e-23|1|538|1074|538[538]:1074[1074]:537[537]
4601	739+1467	0	1302	1	37387at6656|TCONS_00010619|+|32|0.0005055|1|739|2205|739[739]:2205[2205]:1467[1467]
4671	4693+417	0	970	1	79993at6656|TCONS_00025666|+|49|3.857e-09|1|4693|5109|4693[4693]:5109[5109]:417[417]
4731	921+555	0	1636	1	137197at6656|TCONS_00016266|+|81|8.98e-19|1|921|1475|921[921]:1475[1475]:555[555]
4758	295+549	0	217	1	137197at6656|TCONS_00020199|+|108|6.69e-27|1|295|843|295[295]:843[843]:549[549]
4782	866+540	0	911	1	137197at6656|TCONS_00026493|+|85|5.612e-20|1|866|1405|866[866]:1405[1405]:540[540]
4850	3220+498	0	217	1	137197at6656|TCONS_00019348|+|107|1.338e-26|1|3220|3717|3220[3220]:3717[3717]:498[498]
4969	3815+2673	0	948	1	37387at6656|TCONS_00038449|+|39|3.949e-06|1|3815|6487|3815[3815]:6487[6487]:2673[2673]
5007	11361+4503	0	1145	1	37387at6656|TCONS_00038312|+|87|1.403e-20|1|11361|15863|11361[11361]:15863[15863]:4503[4503]
5105	332+555	0	750	1	137197at6656|TCONS_00044471|+|174|9.067e-47|1|332|886|332[332]:886[886]:555[555]
