116	135+1434	0	59852	1	31480at6656_34638_0:00270b|TCONS_00008079|+|162|2.761e-41|1|135|1568|135[135]:1568[1568]:1434[1434]
117	21+387	0	156106	1	166485at6656_7165_0:000473|TCONS_00003526|+|270|8.508e-74|1|21|407|21[21]:407[407]:387[387]
123	172+2028	0	9332	1	101829at6656_7165_0:0004b9|TCONS_00003557|+|1200|0|1|172|2199|172[172]:2199[2199]:2028[2028]
126	1308+498	0	54030	1	150765at6656_28612_0:004c30|TCONS_00008104|+|85|4.172e-18|1|1308|1805|1308[1308]:1805[1805]:498[498]
130	840+816	0	56339	1	81292at6656_7038_0:001f42|TCONS_00006459|+|99|2.546e-22|1|840|1655|840[840]:1655[1655]:816[816]
132	114+1287	0	66994	1	86318at6656_7165_0:000541|TCONS_00002210|+|883|2.503e-258|1|114|1400|114[114]:1400[1400]:1287[1287]
133	427+1494	0	51130	1	113641at6656_7070_0:0020e2|TCONS_00004842|+|507|3.852e-145|1|427|1920|427[427]:1920[1920]:1494[1494]
134	2072+1059	0	13624	1	132340at6656_54969_0:0029cc|TCONS_00012728|+|226|1.497e-60|1|2072|3130|2072[2072]:3130[3130]:1059[1059]
135	1736+669	0	78749	1	3585at6656_104452_0:003375|TCONS_00013141|+|273|1.063e-74|1|1736|2404|1736[1736]:2404[2404]:669[669]
143	526+3783	0	56675	1	65490at6656_72036_0:003203|TCONS_00009254|+|543|5.606e-156|2|526|4308|526[526]:696[696]:171[171]|763[763]:4308[4308]:3546[3546]
144	168+675	0	124656	1	121847at6656_7165_0:0005f7|TCONS_00010470|+|436|9.096e-124|1|168|842|168[168]:842[842]:675[675]
145	257+1062	0	38201	1	137334at6656_224129_0:002700|TCONS_00008162|+|201|5.022e-53|1|257|1318|257[257]:1318[1318]:1062[1062]
146	549+720	0	38201	1	137334at6656_224129_0:002700|TCONS_00006534|+|141|5.79e-35|1|549|1268|549[549]:1268[1268]:720[720]
147	791+198	0	87665	1	86488at6656_6973_0:00433c|TCONS_00011581|+|48|5.734e-07|1|791|988|791[791]:988[988]:198[198]
153	1939+156	0	160767	1	137709at6656_6669_0:004b1e|TCONS_00011845|+|51|7.168e-08|1|1939|2094|1939[1939]:2094[2094]:156[156]
156	2725+8847	0	150866	1	12174at6656_7165_0:000685|TCONS_00002358|+|5055|0|1|2725|11571|2725[2725]:11571[11571]:8847[8847]
157	238+561	0	41528	1	149126at6656_7460_0:0015c0|TCONS_00012746|+|76|2.136e-15|1|238|798|238[238]:798[798]:561[561]
157	1192+600	0	123943	1	149126at6656_64459_0:001a49|TCONS_00012746|+|54|8.96e-09|1|1192|1791|1192[1192]:1791[1791]:600[600]
159	120+462	0	129407	1	115208at6656_6832_0:002a97|TCONS_00013545|+|51|7.168e-08|1|120|581|120[120]:581[581]:462[462]
162	102+540	0	124666	1	128030at6656_7165_0:00170a|TCONS_00010830|+|54|8.96e-09|1|102|641|102[102]:641[641]:540[540]
163	1134+1101	0	81368	1	88051at6656_438502_0:002f82|TCONS_00003785|+|108|4.974e-25|1|1134|2234|1134[1134]:2234[2234]:1101[1101]
165	2481-2250	0	26693	-1	30463at6656_121845_0:00070c|TCONS_00010033|-|370|6.711e-104|1|232|2481|2481[2481]:232[232]:2250[2250]
167	98+2780	0	56511	1	29744at6656_7165_0:000743|TCONS_00012522|+|1729|0|2|98|2877|98[98]:889[889]:792[792]|949[973]:2877[2877]:1929[1905]
170	852+474	0	65352	1	80689at6656_38123_0:00368c|TCONS_00013345|+|63|1.75e-11|1|852|1325|852[852]:1325[1325]:474[474]
171	1054+441	0	18946	1	123631at6656_597456_0:0006f3|TCONS_00012762|+|76|2.136e-15|1|1054|1494|1054[1054]:1494[1494]:441[441]
171	1570+327	0	81971	1	123631at6656_62625_0:000fac|TCONS_00012762|+|59|2.8e-10|1|1570|1896|1570[1570]:1896[1896]:327[327]
174	169+657	0	120907	1	122526at6656_114398_0:00328d|TCONS_00003839|+|115|3.886e-27|1|169|825|169[169]:825[825]:657[657]
